2026-08-26 21:02:24,464 | INFO | edward.autonomous.live_analysis | live_analysis_started instrument=uid ticker=TEST profile=medium_term
2026-08-26 21:02:41,428 | INFO | edward.autonomous.controller | cycle_started budget_total=20000 reserve=2000 invested=0 free_cash=18000 positions=0 opportunities=1
2026-08-26 21:02:41,428 | INFO | edward.autonomous.controller | allocation_completed actions=1 action_types=OPEN
2026-08-26 21:02:41,428 | INFO | edward.autonomous.controller | action_planning action=OPEN instrument=NEW source=None target_value=10000 score_advantage=90 return_improvement=12 risk_improvement=-10 reasons=FREE_SLOT,TOP_OPPORTUNITY
2026-08-26 21:02:41,430 | INFO | edward.autonomous.controller | reallocation_plan action=OPEN instrument=NEW allowed=True steps=3 reasons=OPEN
2026-08-26 21:02:41,430 | INFO | edward.autonomous.controller | step_started sequence=1 type=BUY instrument=NEW value=10000 source=None reasons=FREE_SLOT,TOP_OPPORTUNITY
2026-08-26 21:02:41,430 | INFO | edward.autonomous.controller | step_completed sequence=1 type=BUY instrument=NEW
2026-08-26 21:02:41,430 | INFO | edward.autonomous.controller | step_started sequence=2 type=PROTECT instrument=NEW value=10000 source=None reasons=PROTECTION_REQUIRED
2026-08-26 21:02:41,430 | INFO | edward.autonomous.controller | step_completed sequence=2 type=PROTECT instrument=NEW
2026-08-26 21:02:41,430 | INFO | edward.autonomous.controller | step_started sequence=3 type=VERIFY instrument=NEW value=10000 source=None reasons=PROTECTION_VERIFY
2026-08-26 21:02:41,430 | INFO | edward.autonomous.controller | step_completed sequence=3 type=VERIFY instrument=NEW
2026-08-26 21:02:41,430 | INFO | edward.autonomous.controller | cycle_completed status=COMPLETED actions=1 steps=3 reason=AUTONOMOUS_CYCLE_COMPLETED
2026-08-26 21:02:41,432 | INFO | edward.autonomous.controller | candidate_cycle_started candidates=1
2026-08-26 21:02:41,432 | INFO | edward.autonomous.opportunity | decision instrument=DECISION_NEW decision=BUY status=VALID opportunity_score=90.0 strategy_score=85.0 reasons=BUY_CONDITIONS_MET
2026-08-26 21:02:41,432 | INFO | edward.autonomous.opportunity | opportunity_approved instrument=DECISION_NEW score=90.0 risk=10 expected_return=15 target=10000
2026-08-26 21:02:41,432 | INFO | edward.autonomous.opportunity | opportunity_cycle_completed candidates=1 approved=1
2026-08-26 21:02:41,433 | INFO | edward.autonomous.controller | candidate_cycle_decisions completed=1 approved=1
2026-08-26 21:02:41,433 | INFO | edward.autonomous.controller | cycle_started budget_total=20000 reserve=2000 invested=0 free_cash=18000 positions=0 opportunities=1
2026-08-26 21:02:41,433 | INFO | edward.autonomous.controller | allocation_completed actions=1 action_types=OPEN
2026-08-26 21:02:41,433 | INFO | edward.autonomous.controller | action_planning action=OPEN instrument=DECISION_NEW source=None target_value=10000 score_advantage=90.0 return_improvement=15 risk_improvement=-10 reasons=FREE_SLOT,TOP_OPPORTUNITY
2026-08-26 21:02:41,433 | INFO | edward.autonomous.controller | reallocation_plan action=OPEN instrument=DECISION_NEW allowed=True steps=3 reasons=OPEN
2026-08-26 21:02:41,433 | INFO | edward.autonomous.controller | step_started sequence=1 type=BUY instrument=DECISION_NEW value=10000 source=None reasons=FREE_SLOT,TOP_OPPORTUNITY
2026-08-26 21:02:41,433 | INFO | edward.autonomous.controller | step_completed sequence=1 type=BUY instrument=DECISION_NEW
2026-08-26 21:02:41,433 | INFO | edward.autonomous.controller | step_started sequence=2 type=PROTECT instrument=DECISION_NEW value=10000 source=None reasons=PROTECTION_REQUIRED
2026-08-26 21:02:41,433 | INFO | edward.autonomous.controller | step_completed sequence=2 type=PROTECT instrument=DECISION_NEW
2026-08-26 21:02:41,433 | INFO | edward.autonomous.controller | step_started sequence=3 type=VERIFY instrument=DECISION_NEW value=10000 source=None reasons=PROTECTION_VERIFY
2026-08-26 21:02:41,433 | INFO | edward.autonomous.controller | step_completed sequence=3 type=VERIFY instrument=DECISION_NEW
2026-08-26 21:02:41,433 | INFO | edward.autonomous.controller | cycle_completed status=COMPLETED actions=1 steps=3 reason=AUTONOMOUS_CYCLE_COMPLETED
2026-08-26 21:02:41,435 | INFO | edward.autonomous.controller | cycle_started budget_total=20000 reserve=2000 invested=0 free_cash=18000 positions=0 opportunities=1
2026-08-26 21:02:41,436 | INFO | edward.autonomous.controller | allocation_completed actions=1 action_types=OPEN
2026-08-26 21:02:41,436 | INFO | edward.autonomous.controller | action_planning action=OPEN instrument=NEW source=None target_value=10000 score_advantage=90 return_improvement=12 risk_improvement=-10 reasons=FREE_SLOT,TOP_OPPORTUNITY
2026-08-26 21:02:41,436 | INFO | edward.autonomous.controller | reallocation_plan action=OPEN instrument=NEW allowed=True steps=3 reasons=OPEN
2026-08-26 21:02:41,436 | INFO | edward.autonomous.controller | step_started sequence=1 type=BUY instrument=NEW value=10000 source=None reasons=FREE_SLOT,TOP_OPPORTUNITY
2026-08-26 21:02:41,436 | INFO | edward.autonomous.controller | step_completed sequence=1 type=BUY instrument=NEW
2026-08-26 21:02:41,436 | INFO | edward.autonomous.controller | step_started sequence=2 type=PROTECT instrument=NEW value=10000 source=None reasons=PROTECTION_REQUIRED
2026-08-26 21:02:41,436 | ERROR | edward.autonomous.controller | step_failed sequence=2 type=PROTECT instrument=NEW reason=STEP_EXECUTION_FAILED
2026-08-26 21:02:41,436 | WARNING | edward.autonomous.controller | cycle_blocked stage=EXECUTION instrument=NEW sequence=2
2026-08-26 21:02:41,439 | INFO | edward.autonomous.controller | cycle_started budget_total=20000 reserve=2000 invested=0 free_cash=18000 positions=1 opportunities=0
2026-08-26 21:02:41,440 | INFO | edward.autonomous.controller | allocation_completed actions=0 action_types=
2026-08-26 21:02:41,440 | INFO | edward.autonomous.controller | cycle_completed status=COMPLETED reason=NO_ACTION_REQUIRED
2026-08-26 21:02:41,458 | INFO | edward.autonomous.dry_run | dry_run sequence=1 action=BUY instrument_uid=SBER quantity=3 status=SIMULATED
2026-08-26 21:02:41,458 | INFO | edward.autonomous.dry_run | dry_run sequence=2 action=VERIFY instrument_uid=SBER quantity=3 status=VERIFIED
2026-08-26 21:02:41,461 | INFO | edward.autonomous.live_account | live_snapshot_started account=ACC
2026-08-26 21:02:41,462 | INFO | edward.autonomous.live_account | live_snapshot_completed account=ACC currency=RUB portfolio=40000 cash=30000 blocked=0 invested=10000 positions=1
2026-08-26 21:02:41,465 | INFO | edward.autonomous.live_account | live_snapshot_started account=ACC
2026-08-26 21:02:41,466 | WARNING | edward.autonomous.live_account | live_position_unenriched account=ACC instrument=SEC1
2026-08-26 21:02:41,466 | INFO | edward.autonomous.live_account | live_snapshot_completed account=ACC currency=RUB portfolio=40000 cash=30000 blocked=0 invested=10000 positions=0
2026-08-26 21:02:41,468 | INFO | edward.autonomous.live_account | live_snapshot_started account=ACC
2026-08-26 21:02:41,469 | INFO | edward.autonomous.live_account | live_snapshot_completed account=ACC currency=RUB portfolio=40000 cash=30000 blocked=0 invested=10000 positions=1
2026-08-26 21:02:41,469 | INFO | edward.autonomous.live_account | live_budget_built account=ACC total=40000 reserve=2000 invested=10000 free_cash=28000
2026-08-26 21:02:41,480 | INFO | edward.autonomous.opportunity | decision instrument=TEST decision=BUY status=VALID opportunity_score=90.0 strategy_score=85.0 reasons=BUY_CONDITIONS_MET
2026-08-26 21:02:41,480 | INFO | edward.autonomous.opportunity | opportunity_approved instrument=TEST score=90.0 risk=12 expected_return=18 target=20000
2026-08-26 21:02:41,480 | INFO | edward.autonomous.opportunity | opportunity_cycle_completed candidates=1 approved=1
2026-08-26 21:02:41,482 | INFO | edward.autonomous.opportunity | decision instrument=TEST decision=PASS status=VALID opportunity_score=30.0 strategy_score=85.0 reasons=OPPORTUNITY_TOO_LOW
2026-08-26 21:02:41,483 | INFO | edward.autonomous.opportunity | opportunity_rejected instrument=TEST decision=PASS status=VALID reasons=OPPORTUNITY_TOO_LOW
2026-08-26 21:02:41,483 | INFO | edward.autonomous.opportunity | opportunity_cycle_completed candidates=1 approved=0
2026-08-26 21:02:41,483 | INFO | edward.autonomous.opportunity | decision instrument=TEST decision=PASS status=VALID opportunity_score=30.0 strategy_score=85.0 reasons=OPPORTUNITY_TOO_LOW
2026-08-26 21:02:41,483 | INFO | edward.autonomous.opportunity | opportunity_rejected instrument=TEST decision=PASS status=VALID reasons=OPPORTUNITY_TOO_LOW
2026-08-26 21:02:41,483 | INFO | edward.autonomous.opportunity | opportunity_cycle_completed candidates=1 approved=0
2026-08-26 21:02:41,485 | INFO | edward.autonomous.ranking | opportunity_ranking_completed candidates=3 top=B
2026-08-26 21:02:41,487 | INFO | edward.autonomous.ranking | opportunity_ranking_completed candidates=2 top=A
2026-08-26 21:02:41,489 | INFO | edward.autonomous.planning | planning_started account_capital=1324799.71 invested=54465.50 free_cash=1270334.21 slots=5 reserve_pct=0
2026-08-26 21:02:41,489 | INFO | edward.autonomous.planning | planning_completed planning_budget=1324799.71 reserve=0.00 slots=5 target_position_value=264959.942
2026-08-26 21:02:41,491 | INFO | edward.autonomous.planning | planning_started account_capital=100000 invested=20000 free_cash=80000 slots=4 reserve_pct=10
2026-08-26 21:02:41,491 | INFO | edward.autonomous.planning | planning_completed planning_budget=90000.00 reserve=10000.00 slots=4 target_position_value=22500.00
2026-08-26 21:02:41,495 | INFO | edward.autonomous.planning | planning_started account_capital=100000 invested=0 free_cash=100000 slots=5 reserve_pct=0
2026-08-26 21:02:41,495 | INFO | edward.autonomous.planning | planning_completed planning_budget=100000.00 reserve=0.00 slots=5 target_position_value=20000.00
2026-08-26 21:02:41,495 | INFO | edward.autonomous.planning | allocation_policy_built max_positions=5 max_position_value=20000.00 min_position_value=500 replacement_advantage=10 return_improvement=2
2026-08-26 21:02:41,551 | INFO | edward.autonomous.universe | universe_scan_started instruments=5
2026-08-26 21:02:41,551 | INFO | edward.autonomous.universe | universe_eligible instrument=1 ticker=AAA candles=1
2026-08-26 21:02:41,551 | INFO | edward.autonomous.universe | universe_scan_completed total=5 eligible=1 rejected=4
2026-08-26 21:02:41,553 | INFO | edward.autonomous.universe | universe_scan_started instruments=1
2026-08-26 21:02:41,553 | INFO | edward.autonomous.universe | universe_eligible instrument=1 ticker=AAA candles=1
2026-08-26 21:02:41,553 | INFO | edward.autonomous.universe | universe_scan_completed total=1 eligible=1 rejected=0
2026-08-26 21:02:41,554 | INFO | edward.autonomous.universe | universe_scan_started instruments=2
2026-08-26 21:02:41,554 | WARNING | edward.autonomous.universe | universe_candles_failed instrument=1 error=gateway failure
2026-08-26 21:02:41,554 | INFO | edward.autonomous.universe | universe_eligible instrument=2 ticker=BBB candles=1
2026-08-26 21:02:41,554 | INFO | edward.autonomous.universe | universe_scan_completed total=2 eligible=1 rejected=1
2026-08-26 21:08:54,252 | INFO | edward.autonomous.live_analysis | live_analysis_started instrument=uid ticker=TEST profile=medium_term
2026-08-26 21:09:06,939 | INFO | edward.autonomous.controller | cycle_started budget_total=20000 reserve=2000 invested=0 free_cash=18000 positions=0 opportunities=1
2026-08-26 21:09:06,940 | INFO | edward.autonomous.controller | allocation_completed actions=1 action_types=OPEN
2026-08-26 21:09:06,940 | INFO | edward.autonomous.controller | action_planning action=OPEN instrument=NEW source=None target_value=10000 score_advantage=90 return_improvement=12 risk_improvement=-10 reasons=FREE_SLOT,TOP_OPPORTUNITY
2026-08-26 21:09:06,940 | INFO | edward.autonomous.controller | reallocation_plan action=OPEN instrument=NEW allowed=True steps=3 reasons=OPEN
2026-08-26 21:09:06,941 | INFO | edward.autonomous.controller | step_started sequence=1 type=BUY instrument=NEW value=10000 source=None reasons=FREE_SLOT,TOP_OPPORTUNITY
2026-08-26 21:09:06,941 | INFO | edward.autonomous.controller | step_completed sequence=1 type=BUY instrument=NEW
2026-08-26 21:09:06,941 | INFO | edward.autonomous.controller | step_started sequence=2 type=PROTECT instrument=NEW value=10000 source=None reasons=PROTECTION_REQUIRED
2026-08-26 21:09:06,941 | INFO | edward.autonomous.controller | step_completed sequence=2 type=PROTECT instrument=NEW
2026-08-26 21:09:06,941 | INFO | edward.autonomous.controller | step_started sequence=3 type=VERIFY instrument=NEW value=10000 source=None reasons=PROTECTION_VERIFY
2026-08-26 21:09:06,941 | INFO | edward.autonomous.controller | step_completed sequence=3 type=VERIFY instrument=NEW
2026-08-26 21:09:06,942 | INFO | edward.autonomous.controller | cycle_completed status=COMPLETED actions=1 steps=3 reason=AUTONOMOUS_CYCLE_COMPLETED
2026-08-26 21:09:06,946 | INFO | edward.autonomous.controller | candidate_cycle_started candidates=1
2026-08-26 21:09:06,946 | INFO | edward.autonomous.opportunity | decision instrument=DECISION_NEW decision=BUY status=VALID opportunity_score=90.0 strategy_score=85.0 reasons=BUY_CONDITIONS_MET
2026-08-26 21:09:06,947 | INFO | edward.autonomous.opportunity | opportunity_approved instrument=DECISION_NEW score=90.0 risk=10 expected_return=15 target=10000
2026-08-26 21:09:06,947 | INFO | edward.autonomous.opportunity | opportunity_cycle_completed candidates=1 approved=1
2026-08-26 21:09:06,947 | INFO | edward.autonomous.controller | candidate_cycle_decisions completed=1 approved=1
2026-08-26 21:09:06,947 | INFO | edward.autonomous.controller | cycle_started budget_total=20000 reserve=2000 invested=0 free_cash=18000 positions=0 opportunities=1
2026-08-26 21:09:06,947 | INFO | edward.autonomous.controller | allocation_completed actions=1 action_types=OPEN
2026-08-26 21:09:06,947 | INFO | edward.autonomous.controller | action_planning action=OPEN instrument=DECISION_NEW source=None target_value=10000 score_advantage=90.0 return_improvement=15 risk_improvement=-10 reasons=FREE_SLOT,TOP_OPPORTUNITY
2026-08-26 21:09:06,947 | INFO | edward.autonomous.controller | reallocation_plan action=OPEN instrument=DECISION_NEW allowed=True steps=3 reasons=OPEN
2026-08-26 21:09:06,948 | INFO | edward.autonomous.controller | step_started sequence=1 type=BUY instrument=DECISION_NEW value=10000 source=None reasons=FREE_SLOT,TOP_OPPORTUNITY
2026-08-26 21:09:06,948 | INFO | edward.autonomous.controller | step_completed sequence=1 type=BUY instrument=DECISION_NEW
2026-08-26 21:09:06,948 | INFO | edward.autonomous.controller | step_started sequence=2 type=PROTECT instrument=DECISION_NEW value=10000 source=None reasons=PROTECTION_REQUIRED
2026-08-26 21:09:06,948 | INFO | edward.autonomous.controller | step_completed sequence=2 type=PROTECT instrument=DECISION_NEW
2026-08-26 21:09:06,948 | INFO | edward.autonomous.controller | step_started sequence=3 type=VERIFY instrument=DECISION_NEW value=10000 source=None reasons=PROTECTION_VERIFY
2026-08-26 21:09:06,948 | INFO | edward.autonomous.controller | step_completed sequence=3 type=VERIFY instrument=DECISION_NEW
2026-08-26 21:09:06,948 | INFO | edward.autonomous.controller | cycle_completed status=COMPLETED actions=1 steps=3 reason=AUTONOMOUS_CYCLE_COMPLETED
2026-08-26 21:09:06,951 | INFO | edward.autonomous.controller | cycle_started budget_total=20000 reserve=2000 invested=0 free_cash=18000 positions=0 opportunities=1
2026-08-26 21:09:06,951 | INFO | edward.autonomous.controller | allocation_completed actions=1 action_types=OPEN
2026-08-26 21:09:06,952 | INFO | edward.autonomous.controller | action_planning action=OPEN instrument=NEW source=None target_value=10000 score_advantage=90 return_improvement=12 risk_improvement=-10 reasons=FREE_SLOT,TOP_OPPORTUNITY
2026-08-26 21:09:06,952 | INFO | edward.autonomous.controller | reallocation_plan action=OPEN instrument=NEW allowed=True steps=3 reasons=OPEN
2026-08-26 21:09:06,952 | INFO | edward.autonomous.controller | step_started sequence=1 type=BUY instrument=NEW value=10000 source=None reasons=FREE_SLOT,TOP_OPPORTUNITY
2026-08-26 21:09:06,952 | INFO | edward.autonomous.controller | step_completed sequence=1 type=BUY instrument=NEW
2026-08-26 21:09:06,952 | INFO | edward.autonomous.controller | step_started sequence=2 type=PROTECT instrument=NEW value=10000 source=None reasons=PROTECTION_REQUIRED
2026-08-26 21:09:06,952 | ERROR | edward.autonomous.controller | step_failed sequence=2 type=PROTECT instrument=NEW reason=STEP_EXECUTION_FAILED
2026-08-26 21:09:06,952 | WARNING | edward.autonomous.controller | cycle_blocked stage=EXECUTION instrument=NEW sequence=2
2026-08-26 21:09:06,955 | INFO | edward.autonomous.controller | cycle_started budget_total=20000 reserve=2000 invested=0 free_cash=18000 positions=1 opportunities=0
2026-08-26 21:09:06,955 | INFO | edward.autonomous.controller | allocation_completed actions=0 action_types=
2026-08-26 21:09:06,955 | INFO | edward.autonomous.controller | cycle_completed status=COMPLETED reason=NO_ACTION_REQUIRED
2026-08-26 21:09:06,971 | INFO | edward.autonomous.controller | cycle_started budget_total=100000 reserve=10000 invested=0 free_cash=90000 positions=0 opportunities=1
2026-08-26 21:09:06,971 | INFO | edward.autonomous.controller | allocation_completed actions=1 action_types=OPEN
2026-08-26 21:09:06,971 | INFO | edward.autonomous.controller | action_planning action=OPEN instrument=NEW source=None target_value=20000 score_advantage=90 return_improvement=20 risk_improvement=-10 reasons=FREE_SLOT,TOP_OPPORTUNITY
2026-08-26 21:09:06,972 | INFO | edward.autonomous.controller | reallocation_plan action=OPEN instrument=NEW allowed=True steps=3 reasons=OPEN
2026-08-26 21:09:06,972 | INFO | edward.autonomous.controller | step_started sequence=1 type=BUY instrument=NEW value=20000 source=None reasons=FREE_SLOT,TOP_OPPORTUNITY
2026-08-26 21:09:06,972 | INFO | edward.autonomous.controller | step_completed sequence=1 type=BUY instrument=NEW
2026-08-26 21:09:06,972 | INFO | edward.autonomous.controller | step_started sequence=2 type=PROTECT instrument=NEW value=20000 source=None reasons=PROTECTION_REQUIRED
2026-08-26 21:09:06,972 | INFO | edward.autonomous.controller | step_completed sequence=2 type=PROTECT instrument=NEW
2026-08-26 21:09:06,972 | INFO | edward.autonomous.controller | step_started sequence=3 type=VERIFY instrument=NEW value=20000 source=None reasons=PROTECTION_VERIFY
2026-08-26 21:09:06,972 | INFO | edward.autonomous.controller | step_completed sequence=3 type=VERIFY instrument=NEW
2026-08-26 21:09:06,972 | INFO | edward.autonomous.controller | cycle_completed status=COMPLETED actions=1 steps=3 reason=AUTONOMOUS_CYCLE_COMPLETED
2026-08-26 21:09:06,986 | INFO | edward.autonomous.dry_run | dry_run sequence=1 action=BUY instrument_uid=SBER quantity=3 status=SIMULATED
2026-08-26 21:09:06,986 | INFO | edward.autonomous.dry_run | dry_run sequence=2 action=VERIFY instrument_uid=SBER quantity=3 status=VERIFIED
2026-08-26 21:09:06,989 | INFO | edward.autonomous.live_account | live_snapshot_started account=ACC
2026-08-26 21:09:06,990 | INFO | edward.autonomous.live_account | live_snapshot_completed account=ACC currency=RUB portfolio=40000 cash=30000 blocked=0 invested=10000 positions=1
2026-08-26 21:09:06,993 | INFO | edward.autonomous.live_account | live_snapshot_started account=ACC
2026-08-26 21:09:06,994 | WARNING | edward.autonomous.live_account | live_position_unenriched account=ACC instrument=SEC1
2026-08-26 21:09:06,994 | INFO | edward.autonomous.live_account | live_snapshot_completed account=ACC currency=RUB portfolio=40000 cash=30000 blocked=0 invested=10000 positions=0
2026-08-26 21:09:06,997 | INFO | edward.autonomous.live_account | live_snapshot_started account=ACC
2026-08-26 21:09:06,998 | INFO | edward.autonomous.live_account | live_snapshot_completed account=ACC currency=RUB portfolio=40000 cash=30000 blocked=0 invested=10000 positions=1
2026-08-26 21:09:06,998 | INFO | edward.autonomous.live_account | live_budget_built account=ACC total=40000 reserve=2000 invested=10000 free_cash=28000
2026-08-26 21:09:07,011 | INFO | edward.autonomous.opportunity | decision instrument=TEST decision=BUY status=VALID opportunity_score=90.0 strategy_score=85.0 reasons=BUY_CONDITIONS_MET
2026-08-26 21:09:07,012 | INFO | edward.autonomous.opportunity | opportunity_approved instrument=TEST score=90.0 risk=12 expected_return=18 target=20000
2026-08-26 21:09:07,012 | INFO | edward.autonomous.opportunity | opportunity_cycle_completed candidates=1 approved=1
2026-08-26 21:09:07,016 | INFO | edward.autonomous.opportunity | decision instrument=TEST decision=PASS status=VALID opportunity_score=30.0 strategy_score=85.0 reasons=OPPORTUNITY_TOO_LOW
2026-08-26 21:09:07,016 | INFO | edward.autonomous.opportunity | opportunity_rejected instrument=TEST decision=PASS status=VALID reasons=OPPORTUNITY_TOO_LOW
2026-08-26 21:09:07,017 | INFO | edward.autonomous.opportunity | opportunity_cycle_completed candidates=1 approved=0
2026-08-26 21:09:07,017 | INFO | edward.autonomous.opportunity | decision instrument=TEST decision=PASS status=VALID opportunity_score=30.0 strategy_score=85.0 reasons=OPPORTUNITY_TOO_LOW
2026-08-26 21:09:07,017 | INFO | edward.autonomous.opportunity | opportunity_rejected instrument=TEST decision=PASS status=VALID reasons=OPPORTUNITY_TOO_LOW
2026-08-26 21:09:07,017 | INFO | edward.autonomous.opportunity | opportunity_cycle_completed candidates=1 approved=0
2026-08-26 21:09:07,020 | INFO | edward.autonomous.ranking | opportunity_ranking_completed candidates=3 top=B
2026-08-26 21:09:07,023 | INFO | edward.autonomous.ranking | opportunity_ranking_completed candidates=2 top=A
2026-08-26 21:09:07,026 | INFO | edward.autonomous.planning | planning_started account_capital=1324799.71 invested=54465.50 free_cash=1270334.21 slots=5 reserve_pct=0
2026-08-26 21:09:07,026 | INFO | edward.autonomous.planning | planning_completed planning_budget=1324799.71 reserve=0.00 slots=5 target_position_value=264959.942
2026-08-26 21:09:07,029 | INFO | edward.autonomous.planning | planning_started account_capital=100000 invested=20000 free_cash=80000 slots=4 reserve_pct=10
2026-08-26 21:09:07,030 | INFO | edward.autonomous.planning | planning_completed planning_budget=90000.00 reserve=10000.00 slots=4 target_position_value=22500.00
2026-08-26 21:09:07,035 | INFO | edward.autonomous.planning | planning_started account_capital=100000 invested=0 free_cash=100000 slots=5 reserve_pct=0
2026-08-26 21:09:07,036 | INFO | edward.autonomous.planning | planning_completed planning_budget=100000.00 reserve=0.00 slots=5 target_position_value=20000.00
2026-08-26 21:09:07,036 | INFO | edward.autonomous.planning | allocation_policy_built max_positions=5 max_position_value=20000.00 min_position_value=500 replacement_advantage=10 return_improvement=2
2026-08-26 21:09:07,125 | INFO | edward.autonomous.universe | universe_scan_started instruments=5
2026-08-26 21:09:07,126 | INFO | edward.autonomous.universe | universe_eligible instrument=1 ticker=AAA candles=1
2026-08-26 21:09:07,126 | INFO | edward.autonomous.universe | universe_scan_completed total=5 eligible=1 rejected=4
2026-08-26 21:09:07,129 | INFO | edward.autonomous.universe | universe_scan_started instruments=1
2026-08-26 21:09:07,130 | INFO | edward.autonomous.universe | universe_eligible instrument=1 ticker=AAA candles=1
2026-08-26 21:09:07,130 | INFO | edward.autonomous.universe | universe_scan_completed total=1 eligible=1 rejected=0
